variable,AOR,CI_low_exact,CI_high_exact,P_exact,CI_low_efron,CI_high_efron,P_efron,ci_width_exact,ci_width_efron,ci_width_ratio,sig_exact,sig_efron,flip,model
f.wavedelta,1.4960612835469065,1.4701286944039367,1.5224513150772117,0,1.3625630534814812,1.6426391119362882,2.980263266930695e-17,0.05232262067327498,0.280076058454807,5.3528675523292835,TRUE,TRUE,FALSE,base
f.waveomicron,0.4291560923308228,0.420928417336981,0.4375445895286692,0,0.38893809350930914,0.47353281835391503,1.0522031993357852e-63,0.016616172191688205,0.0845947248446059,5.09110785978266,TRUE,TRUE,FALSE,base
Hemiplegia_Paraplegia,1.6240924832447214,1.5521703293900897,1.699347258601738,9.057964096097579e-98,1.2576433135592568,2.0973167556285235,2.0151571474530167e-4,0.14717692921164827,0.8396734420692666,5.705197455654014,TRUE,TRUE,FALSE,base
HIV,1.1717069797408748,1.0443195393126572,1.3146333039761817,0.006965652246208341,0.9144932557223445,1.5012655782672248,0.21015763166568033,0.2703137646635245,0.5867723225448803,2.1707082629523895,TRUE,FALSE,TRUE,base
Liver_Disease_Mild,1.1734382870102058,1.1506592347456732,1.1966682853119333,1.4700621823475055e-57,1.0754705216941078,1.2803302235122433,3.2343420062142864e-4,0.046009050566260035,0.2048597018181355,4.452595724032739,TRUE,TRUE,FALSE,base
Liver_Disease_Moderate_Severe,1.7595967163001955,1.6466214664995424,1.880323235792876,1.536724807578367e-62,1.5290925905814647,2.0248483467159124,3.0688320170496723e-15,0.23370176929333364,0.49575575613444767,2.121317941381067,TRUE,TRUE,FALSE,base
Malignancy,1.007448838942369,0.9782018001705769,1.0375703284428037,0.621495128127848,0.892790922537369,1.136831857790137,0.9041767997660566,0.05936852827222683,0.24404093525276804,4.110611166471053,FALSE,FALSE,FALSE,base
Metastatic_Solid_Tumor,1.2740603620930844,1.2199334210433062,1.3305888487492619,7.816405360431028e-28,1.0432932237668304,1.5558711293034746,0.017515386582025803,0.11065542770595571,0.5125779055366442,4.632198493676385,TRUE,TRUE,FALSE,base
Myocardial_Infarction,1.698283031929106,1.6431654028245286,1.7552495029292636,2.8303346002001015e-217,1.479663315778795,1.949203731539622,4.964443180119281e-14,0.11208410010473502,0.46954041576082695,4.189179511831501,TRUE,TRUE,FALSE,base
Peptic_Ulcer_Disease,0.8966469359389712,0.8564172634351374,0.9387663724852463,3.1931377746815274e-6,0.7530386015755326,1.0676421182747347,0.22056657175526645,0.08234910905010895,0.31460351669920206,3.820363332744349,TRUE,FALSE,TRUE,base
Peripheral_Vascular_Disease,0.9889192468543629,0.9641254746375375,1.0143506239856017,0.38972301015771865,0.8852790121819138,1.1046927164676095,0.8436178449869961,0.05022514934806421,0.21941370428569562,4.368602326399102,FALSE,FALSE,FALSE,base
Renal_Disease_Mild_Moderate,1.4553579273330308,1.4154884178217673,1.4963504257495055,1.7236144783705375e-154,1.2934597113040363,1.6375204253681077,4.4710214570571915e-10,0.08086200792773823,0.34406071406407146,4.254911829193493,TRUE,TRUE,FALSE,base
Renal_Disease_Severe,2.340997655063501,2.240725579914961,2.4457568879187765,2.54818e-317,1.975181938267001,2.774564669126698,1.0049990692798696e-22,0.20503130800381575,0.7993827308596968,3.898832518030953,TRUE,TRUE,FALSE,base
Rheumatic_Disease,0.9723024204247526,0.9404377333018066,1.0052467731645578,0.09849653721924795,0.8698459156011579,1.0868269653372777,0.6210147725813941,0.06480903986275122,0.21698104973611987,3.348005929352288,FALSE,FALSE,FALSE,base
